titre|annee|duree|genre|tomatometer|audience_score|url_tomatoes
Django Unchained|2012|165|Drama, Western|87|91|https://www.rottentomatoes.com/m/django_unchained_2012
The Dark Knight Rises|2012|164|Action, Crime|87|90|https://www.rottentomatoes.com/m/the_dark_knight_rises
3 Idiots|2009|170|Comedy, Drama|100|93|https://www.rottentomatoes.com/m/3_idiots
Like Stars on Earth|2007|165|Drama, Family|91|96|https://www.rottentomatoes.com/m/like_stars_on_earth
WALL·E|2008|98|Animation, Adventure, Family|95|90|https://www.rottentomatoes.com/m/wall_e
The Lives of Others|2006|137|Drama, Mystery, Thriller|92|96|https://www.rottentomatoes.com/m/the_lives_of_others
Oldboy|2003|120|Action, Drama, Mystery|81|94|https://www.rottentomatoes.com/m/oldboy
Memento|2000|113|Mystery, Thriller|93|94|https://www.rottentomatoes.com/m/memento
Princess Mononoke|1997|134|Animation, Action, Adventure|93|94|https://www.rottentomatoes.com/m/princess_mononoke_1999
Indiana Jones and the Raiders of the Lost Ark|1981|115|Action, Adventure|95|96|https://www.rottentomatoes.com/m/raiders_of_the_lost_ark
The Shining|1980|146|Drama, Horror|84|93|https://www.rottentomatoes.com/m/shining
Apocalypse Now|1979|147|Drama, Mystery, War|98|94|https://www.rottentomatoes.com/m/apocalypse_now
Alien|1979|117|Horror, Sci-Fi|98|94|https://www.rottentomatoes.com/m/alien
High and Low|1963|143|Crime, Drama, Mystery|95|95|https://www.rottentomatoes.com/m/high_and_low
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|1964|95|Comedy, Drama, War|98|94|https://www.rottentomatoes.com/m/dr_strangelove
Witness for the Prosecution|1957|116|Crime, Drama, Mystery|100|95|https://www.rottentomatoes.com/m/witness_for_the_prosecution
Paths of Glory|1957|88|Drama, War|95|95|https://www.rottentomatoes.com/m/paths_of_glory
Sunset Blvd.|1950|110|Drama, Film-Noir|98|95|https://www.rottentomatoes.com/m/sunset_boulevard
The Great Dictator|1940|125|Comedy, Drama, War|93|95|https://www.rottentomatoes.com/m/great_dictator
1917|2019|119|Action, Drama, War|89|88|https://www.rottentomatoes.com/m/1917_2019
The Hunt|2012|115|Drama|93|93|https://www.rottentomatoes.com/m/the_hunt_2013
A Separation|2011|123|Drama|99|92|https://www.rottentomatoes.com/m/a_separation_2011
Incendies|2010|131|Drama, Mystery, War|92|92|https://www.rottentomatoes.com/m/incendies
The Father|2020|97|Drama|98|92|https://www.rottentomatoes.com/m/the_father_2021
Inglourious Basterds|2009|153|Adventure, Drama, War|89|88|https://www.rottentomatoes.com/m/inglourious_basterds
Eternal Sunshine of the Spotless Mind|2004|108|Drama, Romance, Sci-Fi|92|94|https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind
Amélie|2001|122|Comedy, Romance|||
Snatch|2000|102|Comedy, Crime|74|93|https://www.rottentomatoes.com/m/snatch
Requiem for a Dream|2000|102|Drama|79|93|https://www.rottentomatoes.com/m/requiem_for_a_dream
American Beauty|1999|122|Drama|87|93|https://www.rottentomatoes.com/m/american_beauty
Good Will Hunting|1997|126|Drama, Romance|98|94|https://www.rottentomatoes.com/m/good_will_hunting
Children of Heaven|1997|89|Drama, Family, Sport|83|96|https://www.rottentomatoes.com/m/children_of_heaven
Toy Story|1995|81|Animation, Adventure, Comedy|100|92|https://www.rottentomatoes.com/m/toy_story
Braveheart|1995|178|Biography, Drama, History|79|85|https://www.rottentomatoes.com/m/1065684-braveheart
Reservoir Dogs|1992|99|Crime, Drama, Thriller|92|94|https://www.rottentomatoes.com/m/reservoir_dogs
Full Metal Jacket|1987|116|Drama, War|92|94|https://www.rottentomatoes.com/m/full_metal_jacket
Come and See|1985|142|Drama, Thriller, War|97|95|https://www.rottentomatoes.com/m/1036052-come_and_see
Aliens|1986|137|Action, Adventure, Sci-Fi|97|94|https://www.rottentomatoes.com/m/1000617-aliens
Once Upon a Time in America|1984|229|Crime, Drama|87|93|https://www.rottentomatoes.com/m/once_upon_a_time_in_america
Amadeus|1984|160|Biography, Drama, Music|93|95|https://www.rottentomatoes.com/m/amadeus
Scarface|1983|170|Crime, Drama|82|93|https://www.rottentomatoes.com/m/scarface
Star Wars: Episode VI - Return of the Jedi|1983|131|Action, Adventure, Fantasy|82|94|https://www.rottentomatoes.com/m/star_wars_episode_vi_return_of_the_jedi
Das Boot|1981|149|Adventure, Drama, Thriller|98|95|https://www.rottentomatoes.com/m/das_boot
Dersu Uzala|1975|142|Adventure, Biography, Drama|73|94|https://www.rottentomatoes.com/m/dersu_uzala
The Sting|1973|129|Comedy, Crime, Drama|94|95|https://www.rottentomatoes.com/m/1020130-sting
A Clockwork Orange|1971|136|Crime, Drama, Sci-Fi|87|93|https://www.rottentomatoes.com/m/clockwork_orange
2001: A Space Odyssey|1968|149|Adventure, Sci-Fi|92|89|https://www.rottentomatoes.com/m/2001_a_space_odyssey
To Kill a Mockingbird|1962|129|Crime, Drama|93|92|https://www.rottentomatoes.com/m/to_kill_a_mockingbird
Lawrence of Arabia|1962|228|Adventure, Biography, Drama|93|93|https://www.rottentomatoes.com/m/lawrence_of_arabia
The Apartment|1960|125|Comedy, Drama, Romance|93|94|https://www.rottentomatoes.com/m/1001115-apartment
North by Northwest|1959|136|Adventure, Mystery, Thriller|97|94|https://www.rottentomatoes.com/m/north-by-northwest
Vertigo|1958|128|Mystery, Romance, Thriller|94|93|https://www.rottentomatoes.com/m/vertigo
Singin' in the Rain|1952|103|Comedy, Musical, Romance|100|95|https://www.rottentomatoes.com/m/singin_in_the_rain
Ikiru|1952|143|Drama|98|97|https://www.rottentomatoes.com/m/ikiru
Bicycle Thieves|1948|89|Drama|98|94|https://www.rottentomatoes.com/m/bicycle_thieves
Double Indemnity|1944|107|Crime, Drama, Film-Noir|97|95|https://www.rottentomatoes.com/m/double_indemnity
Citizen Kane|1941|119|Drama, Mystery|99|90|https://www.rottentomatoes.com/m/citizen_kane
M|1931|99|Crime, Mystery, Thriller|||
Metropolis|1927|153|Drama, Sci-Fi|97|92|https://www.rottentomatoes.com/m/1013775-metropolis
The Kid|1921|68|Comedy, Drama, Family|||
Andhadhun|2018|139|Crime, Drama, Music|100|91|https://www.rottentomatoes.com/m/andhadhun
Green Book|2018|130|Biography, Comedy, Drama|77|91|https://www.rottentomatoes.com/m/green_book
A Silent Voice: The Movie|2016|130|Animation, Drama|95|93|https://www.rottentomatoes.com/m/a_silent_voice
Klaus|2019|96|Animation, Adventure, Comedy|94|96|https://www.rottentomatoes.com/m/klaus
Tangerines|2013|87|Drama, War|88|89|https://www.rottentomatoes.com/m/tangerines
Gangs of Wasseypur|2012|321|Action, Comedy, Crime|97|90|https://www.rottentomatoes.com/m/gangs_of_wasseypur
